iter	RMSE
0	14.99205461
1	14.96844991
2	14.94513008
3	14.92812831
4	14.90379492
5	14.88397865
6	14.85743666
7	14.84006407
8	14.82601075
9	14.81337155
10	14.78058151
11	14.76196773
12	14.74670484
13	14.73442513
14	14.72104988
15	14.70677466
16	14.68902953
17	14.67559848
18	14.67257428
19	14.65158229
20	14.6460199
21	14.63361773
22	14.6078485
23	14.57804569
24	14.56203157
25	14.53774102
26	14.52605961
27	14.49285612
28	14.48183436
29	14.47198458
30	14.45755977
31	14.45561635
32	14.44212039
33	14.43274196
34	14.42042722
35	14.40507383
36	14.38590947
37	14.36685909
38	14.36608853
39	14.34943992
40	14.33699328
41	14.31672146
42	14.30940123
43	14.29018116
44	14.2648437
45	14.26188676
46	14.24857362
47	14.23234319
48	14.22296033
49	14.19954654
50	14.18272226
51	14.17221
52	14.14890173
53	14.13076401
54	14.11804443
55	14.10327562
56	14.09012757
57	14.07805492
58	14.05586079
59	14.03192347
60	14.02649395
61	14.00775358
62	13.98436375
63	13.9745161
64	13.9652829
65	13.95489
66	13.93231612
67	13.92441529
68	13.91209243
69	13.90156043
70	13.89380556
71	13.88447875
72	13.86170848
73	13.84668092
74	13.83484725
75	13.82079319
76	13.80728366
77	13.79828319
78	13.78644661
79	13.77546128
80	13.76508977
81	13.75448683
82	13.74124407
83	13.73340401
84	13.71769029
85	13.70008111
86	13.68758465
87	13.68048787
88	13.66485894
89	13.64353592
90	13.62695573
91	13.61467755
92	13.60670601
93	13.59470579
94	13.58070332
95	13.56120505
96	13.55395537
97	13.54482552
98	13.5379629
99	13.52909362
100	13.52045496
101	13.50157315
102	13.4837427
103	13.46715857
104	13.45847022
105	13.44342516
106	13.43915075
107	13.42769469
108	13.42282621
109	13.41437069
110	13.40348535
111	13.39758065
112	13.38700419
113	13.37549201
114	13.36245152
115	13.34809612
116	13.33562322
117	13.31105291
118	13.30041903
119	13.28198635
120	13.26836221
121	13.26293962
122	13.25737119
123	13.24835535
124	13.22669081
125	13.2194828
126	13.21104662
127	13.20421058
128	13.1968755
129	13.17974461
130	13.16339033
131	13.15173079
132	13.14073287
133	13.13470771
134	13.11708701
135	13.1062019
136	13.09340639
