iter	Passed	Remaining
0	59	59509
1	59	29935
2	60	20058
3	60	15135
4	61	12180
5	61	10204
6	61	8793
7	62	7732
8	62	6903
9	63	6245
10	63	5704
11	63	5250
12	64	4872
13	64	4541
14	64	4258
15	65	4007
16	65	3785
17	66	3630
18	66	3445
19	67	3291
20	67	3143
21	67	3012
22	68	2895
23	68	2784
24	68	2683
25	69	2589
26	69	2505
27	69	2426
28	70	2351
29	70	2286
30	71	2224
31	71	2158
32	71	2104
33	72	2053
34	72	2004
35	73	1965
36	73	1922
37	74	1880
38	74	1838
39	74	1798
40	75	1760
41	75	1726
42	76	1693
43	76	1666
44	77	1640
45	77	1607
46	77	1580
47	78	1553
48	78	1527
49	79	1507
50	79	1481
51	80	1459
52	80	1437
53	80	1416
54	81	1397
55	81	1378
56	82	1358
57	82	1340
58	82	1322
59	83	1306
60	83	1287
61	83	1269
62	84	1253
63	84	1238
64	85	1223
65	85	1209
66	85	1194
67	86	1179
68	86	1165
69	86	1150
70	86	1137
71	87	1124
72	87	1111
73	87	1098
74	88	1086
75	88	1074
76	88	1063
77	88	1051
78	89	1040
79	89	1029
80	89	1019
81	90	1008
82	90	998
83	90	988
84	90	978
85	91	969
86	91	959
87	91	950
88	91	941
89	92	932
90	92	924
91	92	915
92	93	907
93	93	899
94	93	891
95	93	883
96	94	875
97	94	868
98	94	861
99	94	854
100	95	846
101	95	840
102	95	833
103	95	826
104	96	820
105	96	813
106	96	807
107	97	801
108	97	795
109	97	789
110	97	784
111	98	778
112	98	772
113	98	766
114	98	761
115	99	755
116	99	750
117	99	745
118	100	740
119	100	735
120	100	730
121	100	725
122	101	720
123	101	716
124	101	711
125	101	706
126	102	702
127	102	698
128	102	693
129	103	689
130	103	685
131	103	681
132	103	677
133	104	672
134	104	668
135	104	664
136	104	661
137	105	657
138	105	653
139	105	650
140	106	646
141	106	642
142	106	639
143	106	635
144	107	632
145	107	628
146	107	625
147	108	621
148	108	618
149	108	615
150	108	611
151	109	608
152	109	605
153	109	602
154	109	599
155	110	596
156	110	593
157	110	590
158	111	587
159	111	584
160	111	581
161	111	578
162	112	575
163	112	572
164	112	570
165	112	567
166	113	564
167	113	561
168	113	559
169	113	556
170	114	553
171	114	551
172	114	548
173	115	546
174	115	543
175	115	541
176	115	538
177	116	536
178	116	534
179	116	531
180	116	529
181	117	526
182	117	524
183	117	522
184	118	520
185	118	517
186	118	515
187	118	513
188	119	511
189	119	509
190	119	507
191	120	505
192	120	503
193	120	500
194	120	498
195	121	496
196	121	494
197	121	492
198	121	490
199	122	488
200	122	486
201	122	484
202	122	482
203	123	480
204	123	478
205	123	477
206	124	475
207	124	473
208	124	471
209	124	470
210	125	468
211	125	466
212	125	464
213	126	462
214	126	461
215	126	459
216	126	457
217	127	455
218	127	454
219	127	452
220	127	450
221	128	449
222	128	447
223	128	446
224	129	444
225	129	443
226	129	441
227	129	439
228	130	438
229	130	436
230	130	435
231	131	433
232	131	432
233	131	430
234	131	429
235	132	427
236	132	426
237	132	424
238	133	423
239	133	422
240	133	420
241	133	419
242	134	417
243	134	416
244	134	414
245	134	413
246	135	412
247	135	410
248	135	409
249	136	408
250	136	406
251	136	405
252	136	403
253	137	402
254	137	401
255	137	400
256	137	398
257	138	397
258	138	396
259	138	394
260	139	393
261	139	392
262	139	391
263	139	389
264	140	388
265	140	387
266	140	386
267	140	384
268	141	383
269	141	382
270	141	381
271	142	380
272	142	379
273	142	377
274	142	376
275	143	375
276	143	374
277	143	373
278	144	372
279	144	371
280	144	370
281	144	368
282	145	367
283	145	366
284	145	365
285	146	364
286	146	363
287	146	362
288	146	361
289	147	360
290	147	359
291	147	358
292	148	357
293	148	356
294	148	355
295	148	354
296	149	353
297	149	352
298	149	351
299	150	350
300	150	349
301	150	348
302	151	347
303	151	346
304	151	345
305	151	344
306	152	343
307	152	342
308	153	342
309	153	341
310	153	340
311	153	339
312	154	338
313	154	337
314	154	336
315	155	335
316	155	334
317	155	333
318	155	332
319	156	331
320	156	330
321	156	329
322	156	328
323	157	327
324	157	326
325	157	325
326	157	324
327	158	323
328	158	323
329	158	322
330	158	321
331	159	320
332	159	319
333	159	318
334	159	317
335	160	316
336	160	315
