iter	RMSE
0	14.55992712
1	14.12801605
2	13.66393632
3	13.22026126
4	12.79369857
5	12.40077976
6	12.03964966
7	11.65630547
8	11.29101782
9	10.91914186
10	10.60363311
11	10.31258615
12	9.987988991
13	9.668403608
14	9.366449478
15	9.073256857
16	8.796196725
17	8.538038728
18	8.271471921
19	8.028893569
20	7.76307742
21	7.533833595
22	7.314493901
23	7.077381072
24	6.855987947
25	6.659389031
26	6.462206662
27	6.271242403
28	6.088085465
29	5.94275838
30	5.764543825
31	5.610645745
32	5.450522194
33	5.277815057
34	5.122170479
35	4.964429393
36	4.819043739
37	4.689697539
38	4.54015369
39	4.416371906
40	4.290078214
41	4.171451622
42	4.064451232
43	3.935927694
44	3.817526507
45	3.703965386
46	3.613999367
47	3.512118157
48	3.416088138
49	3.313329019
50	3.220276951
51	3.123987728
52	3.040305389
53	2.966147135
54	2.889946026
55	2.813338091
56	2.734323959
57	2.664231866
58	2.598655132
59	2.535164896
60	2.466596159
61	2.399709583
62	2.343024005
63	2.282307927
64	2.232436341
65	2.175689144
66	2.12027066
67	2.076256095
68	2.026242336
69	1.976745675
70	1.933586201
71	1.896889278
72	1.86084753
73	1.822728165
74	1.778835832
75	1.743775406
76	1.702213329
77	1.660973652
78	1.622389572
79	1.584562352
80	1.55308513
81	1.517334296
82	1.491805383
83	1.468003948
84	1.44004101
85	1.413205605
86	1.384362817
87	1.361130926
88	1.334243919
89	1.307404444
90	1.280942836
91	1.253583658
92	1.229954842
93	1.210339175
94	1.190492897
95	1.172568397
96	1.151638214
97	1.130937136
98	1.117076733
99	1.101125324
100	1.082379864
101	1.065087691
102	1.059989185
103	1.042096137
104	1.027551191
105	1.014967728
106	1.012334445
107	0.9991010569
108	0.9942812955
109	0.9853970791
110	0.9723389595
111	0.960977117
112	0.9500810577
113	0.9374503655
114	0.9244121833
115	0.9216538821
116	0.9124366101
117	0.9025137027
118	0.8988874229
119	0.8898383855
120	0.8802122783
121	0.8697494076
122	0.8670215493
123	0.859305777
124	0.8483225871
125	0.8462236231
126	0.838453023
127	0.8298263813
128	0.8207979855
129	0.8129959213
130	0.8108098205
131	0.8034148628
132	0.7947231608
133	0.7913540945
134	0.7882965227
135	0.7796422247
136	0.7765948403
137	0.7686304493
138	0.7645776401
139	0.7608683536
140	0.7591045269
141	0.756391649
142	0.7523576601
143	0.749546419
144	0.7411745389
145	0.7361591283
146	0.7290549084
147	0.7248173181
148	0.7231298514
149	0.7215405035
150	0.7162579003
151	0.7104230697
152	0.7083112891
153	0.7064959936
154	0.7038851109
155	0.6990444363
156	0.6923775406
157	0.6865995506
158	0.6831319394
159	0.6810223721
160	0.6746184218
161	0.6728189161
162	0.670378999
163	0.6657976793
164	0.6612002406
165	0.6592136884
166	0.6536564005
167	0.6497580341
168	0.6430999626
169	0.6413699049
170	0.6396939059
171	0.6353059018
172	0.6319060042
173	0.628159213
174	0.6231314945
175	0.6212554215
176	0.6167508188
177	0.6137015871
178	0.6096581065
179	0.6078985663
180	0.6045014768
181	0.6033889815
182	0.6020443928
183	0.6010118613
184	0.5990065718
185	0.5979834409
186	0.5960282826
187	0.5910514149
188	0.5894931432
189	0.5866346839
190	0.583309438
191	0.5819602357
192	0.5807854145
193	0.578868634
194	0.5754430101
195	0.5738060939
196	0.5725476864
197	0.5691309189
198	0.5674921211
199	0.5659954804
200	0.5649665748
201	0.5611913189
202	0.5602135005
203	0.5591990584
204	0.5579486912
205	0.5567408453
206	0.5556458955
207	0.5543792808
208	0.5534194846
209	0.5525029011
210	0.5494006884
211	0.5450599084
212	0.5439034726
213	0.5432831601
214	0.5422177897
215	0.5412856936
216	0.5372884593
217	0.5363426636
218	0.5357479823
219	0.5328094034
220	0.5318021721
221	0.5309737651
222	0.5301534673
223	0.5260369581
224	0.5227092357
225	0.5196720793
226	0.5163862299
227	0.5152998362
228	0.5124073201
229	0.5115567543
230	0.5108527104
231	0.5098547964
232	0.506923512
233	0.5062937626
234	0.5058073005
235	0.5040018764
236	0.5001511502
237	0.4995091089
238	0.49733305
239	0.4965165454
240	0.4960130291
241	0.49283516
242	0.4902439171
243	0.4894272352
244	0.4866407232
245	0.4858537371
246	0.4829824949
247	0.4821796648
248	0.4816748035
249	0.479154521
250	0.4786202912
251	0.4759807244
252	0.4752441856
253	0.4747393878
254	0.4741412887
255	0.4734420212
256	0.4730171586
257	0.4702724442
258	0.4697102612
259	0.4678125273
260	0.4654712764
261	0.4650560475
262	0.4646637808
263	0.4621438103
264	0.4615372312
265	0.4611620996
266	0.4593451011
267	0.4576208356
268	0.4572628619
269	0.4551636179
270	0.4548060897
271	0.4525493645
272	0.4522113024
273	0.450713156
274	0.4496165649
275	0.4476304967
276	0.4473097153
277	0.4449882116
278	0.4431244102
279	0.4428147913
280	0.4410677892
281	0.4398992795
282	0.4382679016
283	0.4364533766
284	0.4349448266
285	0.4346548597
286	0.4330079898
287	0.4319235352
288	0.4316449399
289	0.4298615267
290	0.4286864958
291	0.4284223042
292	0.4268692904
293	0.4255617597
294	0.4238278631
295	0.4235742276
296	0.4221502176
297	0.4208879434
298	0.4193751343
299	0.4188548423
300	0.4186170576
301	0.4169086379
302	0.4155176448
303	0.4142501705
304	0.4139152665
305	0.412366497
306	0.4118984948
307	0.4116801739
308	0.4114664662
309	0.4109925536
310	0.4099128254
311	0.4090847796
312	0.4072190953
313	0.4067838874
314	0.4065917672
315	0.4050454995
316	0.403745951
317	0.4026918807
318	0.4019358587
319	0.4010459733
320	0.3997309238
321	0.3986917644
322	0.3971024393
323	0.3961800477
324	0.3947480226
325	0.393218665
326	0.392470435
327	0.3922742304
328	0.3913563778
329	0.3898694596
330	0.3881650849
331	0.3866924767
332	0.3856752379
333	0.3849381608
334	0.3838742458
335	0.3836989181
336	0.3822527356
337	0.3812703501
338	0.3801548294
339	0.3793760009
340	0.3792466851
341	0.3783914684
342	0.3772765629
343	0.3766608349
344	0.3758805564
345	0.3749542124
346	0.3740541656
347	0.3729348154
348	0.371515353
349	0.3705074802
350	0.3697385403
351	0.3684235667
352	0.3669473362
353	0.3661483702
354	0.3649513204
355	0.3637907847
356	0.3628584159
357	0.3620901268
358	0.3613964089
359	0.3604943939
360	0.3592992322
361	0.3586318562
362	0.3570972359
363	0.356472847
364	0.355864586
365	0.3547015073
366	0.3536383435
367	0.3527740824
368	0.351281409
369	0.3499640203
370	0.3490547415
371	0.3484816271
372	0.3474722438
373	0.3469197392
374	0.3460308513
375	0.3450154077
376	0.3438660905
377	0.3430821089
378	0.342628217
379	0.3415893124
380	0.3403890982
381	0.3397284989
382	0.3387600124
383	0.338169668
384	0.337591218
385	0.3370049925
386	0.3362801169
387	0.3358419005
388	0.3347851166
389	0.3342916904
390	0.3333991852
391	0.3330180186
392	0.332175143
393	0.3315181493
394	0.3306780145
395	0.3302849442
396	0.3292616503
397	0.328686779
398	0.3276753393
399	0.3266042604
400	0.3261512665
401	0.3257035184
402	0.3246568478
403	0.3240612426
404	0.323066115
405	0.3219044211
406	0.3212339665
407	0.320183182
408	0.3192385449
409	0.3182711451
410	0.3174168646
411	0.3164270236
412	0.3160360981
413	0.3154120683
414	0.3144014331
415	0.3135312567
416	0.3126301741
417	0.3116997201
418	0.3112233678
419	0.3107911383
420	0.3103675636
421	0.3094017846
422	0.3086454621
423	0.308073102
424	0.3076995471
425	0.3067229787
426	0.3060392312
427	0.3055150107
428	0.3047417031
429	0.3038730442
430	0.3034059272
431	0.3025183589
432	0.3018313407
433	0.3014565625
434	0.301184028
435	0.3007355909
436	0.2997665118
437	0.2993991915
438	0.2985882378
439	0.2979576976
440	0.296951046
441	0.296098118
442	0.2954809249
443	0.29460879
444	0.293784903
445	0.2930828793
446	0.2922740062
447	0.2919425097
448	0.2909863809
449	0.2901538653
450	0.2891950295
451	0.2886019082
452	0.2878707285
453	0.2872953288
454	0.2864621565
455	0.2860050337
456	0.2852385561
457	0.2844079076
458	0.2840790846
459	0.2834854336
460	0.2829773613
461	0.2824397503
462	0.2821461238
463	0.2816757604
464	0.2809035787
465	0.2806630183
466	0.2799121374
467	0.2789303803
468	0.2782667243
469	0.2777414198
470	0.2770361032
471	0.2763333118
472	0.2756338781
473	0.2749173123
474	0.2744588837
475	0.2737285787
476	0.2731905008
477	0.2726421994
478	0.2719689143
479	0.2709062678
480	0.2704335103
481	0.2699619776
482	0.2693596507
483	0.2690361808
484	0.2688081546
485	0.2683075464
486	0.2676322106
487	0.2669319544
488	0.2662772323
489	0.2656715463
490	0.2650829879
491	0.2647305054
492	0.2643530611
493	0.2638856928
494	0.2636657672
495	0.2633350585
496	0.2624827115
497	0.2620828418
498	0.2616211453
499	0.2610256666
500	0.2604207739
501	0.260043003
502	0.2593351471
503	0.2587243754
504	0.2583585469
505	0.2579386033
506	0.2571898576
507	0.2562769971
508	0.255650668
509	0.2552450365
510	0.2546624073
511	0.2541273998
512	0.2537487481
513	0.2533909695
514	0.2528094537
515	0.2523967173
516	0.2522323521
